glyph_name,ps_name,sort_final_cdg,sort_final_a,assoc_feat_cdg,assoc_feat_a,assoc_feat_val,assoc_uids_cdg,assoc_uids_a
.notdef,.notdef,0,0,,,,,
.null,.null,1,1,,,,,
nonmarkingreturn,nonmarkingreturn,2,2,,,,,
Space,space,3,3,,,,,
ExclamationMrk,exclam,4,4,,,,,
QuotMrk,quotedbl,5,5,,,,,
NumSgn,numbersign,6,6,,,,,
DollarSgn,dollar,7,7,,,,,
PercentSgn,percent,8,8,,,,,
Ampersand,ampersand,9,9,,,,,
Apos,quotesingle,10,10,,,,,
LftParen,parenleft,11,11,,,,,
RtParen,parenright,12,12,,,,,
Asterisk,asterisk,13,13,,,,,
PlusSgn,plus,14,14,,,,,
Comma,comma,15,15,,,,,
HyphenMinus,hyphen,16,16,,,,,
FullStop,period,17,17,,,,,
Solidus,slash,18,18,,,,,
DigitZero,zero,19,19,,,,,
DigitOne,one,20,20,,,,,
DigitTwo,two,21,21,,,,,
DigitThree,three,22,22,,,,,
DigitFour,four,23,23,,,,,
DigitFive,five,24,24,,,,,
DigitSix,six,25,25,,,,,
DigitSeven,seven,26,26,,,,,
DigitEight,eight,27,27,,,,,
DigitNine,nine,28,28,,,,,
Colon,colon,29,29,,,,,
Semicolon,semicolon,30,30,,,,,
LTSgn,less,31,31,,,,,
EqSgn,equal,32,32,,,,,
GTSgn,greater,33,33,,,,,
QstnMrk,question,34,34,,,,,
AtSgn,at,35,35,,,,,
LtnCapA,A,36,36,,,,,
LtnCapB,B,37,37,,,,,
LtnCapC,C,38,38,,,,,
LtnCapD,D,39,39,,,,,
LtnCapE,E,40,40,,,,,
LtnCapF,F,41,41,,,,,
LtnCapG,G,42,42,,,,,
LtnCapH,H,43,43,,,,,
LtnCapI,I,44,44,,,,,
LtnCapJ,J,45,45,,,,,
LtnCapK,K,46,46,,,,,
LtnCapL,L,47,47,,,,,
LtnCapM,M,48,48,,,,,
LtnCapN,N,49,49,,,,,
LtnCapO,O,50,50,,,,,
LtnCapP,P,51,51,,,,,
LtnCapQ,Q,52,52,,,,,
LtnCapR,R,53,53,,,,,
LtnCapS,S,54,54,,,,,
LtnCapT,T,55,55,,,,,
LtnCapU,U,56,56,,,,,
LtnCapV,V,57,57,,,,,
LtnCapW,W,58,58,,,,,
LtnCapX,X,59,59,,,,,
LtnCapY,Y,60,60,,,,,
LtnCapZ,Z,61,61,,,,,
LftSqrBrac,bracketleft,62,62,,,,,
ReverseSolidus,backslash,63,63,,,,,
RtSqrBrac,bracketright,64,64,,,,,
CircumAccent,asciicircum,65,65,,,,,
LowLine,underscore,66,66,,,,,
GraveAccent,grave,67,67,,,,,
LtnSmA,a,68,1010.14,,ss01,,,0061
LtnSmB,b,69,69,,,,,
LtnSmC,c,70,70,,,,,
LtnSmD,d,71,71,,,,,
