Graphite,OpenType
apos,cv70
B_hk,cv13
beta,cv14
bowl,ss04
carn,cv77
chtn,cv90
coln,cv71
D_hk,cv17
dg69,cv06
dig0,cv10
dig1,cv01
dig4,cv04
dig7,cv07
empt,cv98
Engs,cv43
ezhc,cv19
Ezhr,cv20
Hstk,cv28
i_tl,cv31
invs,ss06
ital,ss05
jser,cv34
Jstk,cv37
l_tl,cv39
lita,ss02
litg,ss03
litJ,cv35
litr,ss01
lopr,ss07
mone,cv80
N_hk,cv44
ogon,cv76
opnO,cv46
opOU,cv47
p_hk,cv49
pcir,cv78
q_tl,cv51
Qalt,cv52
R_tl,cv55
ramh,cv25
sbrv,cv82
serb,locl
shha,cv81
smcp,smcp
t_hk,cv57
t_tl,cv56
tone,cv91
tstv,cv92
v_hk,cv62
viet,cv75
Y_hk,cv68
y_tl,cv67
