# 2017-01-19 02:18:08 ../../pysilfont/scripts/tools/UFOpsnamesmap.py
# GentiumPlus-Regular.ufo

LtnCapADotAbv,uni0226
LtnSmJ.LP,j.LP
LtnCapSDotBlwDotAbv,uni1E68
ExclamationMrk,exclam
CySmSchwa,uni04D9
LtnSmIAcute,iacute
LtnSmUHornGrave,uni1EEB
TnLtrNineSeg89,uniF1F8F1F9
LtnCapSAcuteDotAbv,uni1E64
LtnSmTopHalfO,uni1D16
LtnSmLLineBlw.SItal,uni1E3B.SItal
MicroSgn,mu
LtnSmECircumBlw.sc,uni1E19.sc
CySmErTick.sc,uni048F.sc
LtnSmZCircum.LP,uni1E91.LP
LtnSmOCircum,ocircumflex
LtnCapTLineBlw,uni1E6E
LtnSmLTrnd.sc,uniA781.sc
LtnSupSmCapI,uni1DA6
CyCapKje,uni040C
CySmKa.sc,uni043A.sc
CyCapBashkirKa,uni04A0
LtnSmTurnedV.sc,uni028C.sc
ModChinantecTnMrkLowRtCorner,uniA71A
LtnSmGlottalStopDep,uniF21E
LtnSmWHook.sc,uni2C73.sc
LtnCapX.Sophia,compLtnCapX
LtnSubSmP,uni209A
GrRevLunateEpsilon,uni03F6
LtnSmKCedilla,kcommaaccent
LtnSmOCaron,uni01D2
SmRomNumOne,uni2170
LtnSmHHook.sc,uni0266.sc
GrSmOmicronWDasiaVaria,uni1F43
DigitThree,three
LtnSmTnSix,uni0185
LtnCapODiaerMacron,uni022A
LtnSmTurnedMLngLeg,uni0270
LtnSupSmA.SngStory,uni1D43.SngStory
DotLftStemTnLtr1Dep,uniF1DE
LtnCapSdwysI,uniA7F7
GrSmIotaWVaria,uni1F76
CySmEmTail.sc,uni04CE.sc
TnContLft32,uniA715.3
SmRomNumTwelve,uni217B
GrCapAlphaWPsiliOxiaPros,uni1F8C
LtnSmEAcute.sc,eacute.sc
ShadowedWhiteCirc,uni274D
DotTnLtr1Dep,uniF1D9
DigitFive.Sophia,compDigitFive
GrSmOmicronWPsiliVaria,uni1F42
ThinSpace,uni2009
LtnSmADotAbv,uni0227
TriplePrime,uni2034
LtnSmLMiddleDot,ldot
GrCapEpsilon,Epsilon
RtPtngDblAngQuotMrk,guillemotright
LtnCapEHookAbv,uni1EBA
LtnSmACircumHookAbv.SngStory.VN.LP,uni1EA9.SngStory.VN.LP
LtnSmLngS,longs
SmTilde.LP,tilde.LP
LtnCapSCaron,Scaron
LtnSmWDiaer.LP,wdieresis.LP
LtnSmACircumTilde.VN.sc,uni1EAB.VN.sc
LtnCapDblBarredL,uni2C60
LtnCapSCaronDotAbv,uni1E66
LtnCapETildeBlw,uni1E1A
CyCapByelorusUkrainI,uni0406
CySmEnTail,uni04CA
ModLowRing,uni02F3
LtnSmYHook.RtHook.sc,uni01B4.RtHook.sc
LtnCapOMacronGrave,uni1E50
LtnSmABreveTilde.SngStory.sc,uni1EB5.SngStory.sc
LtnCapNLftHook.LCStyle,uni019D.LCStyle
TnLtrNineSeg87.Lines,uniF1F8F1F7.Lines
CySmLigAIe.sc,uni04D5.sc
CySmUDblAcute.sc,uni04F3.sc
LtnCapEMacronAcute,uni1E16
