GrCapAlphaWDasia,GrCapAlpha,GrDasia,,,1F09
GrCapAlphaWDasiaOxia,GrCapAlpha,GrDasiaOxia,,,1F0D
GrCapAlphaWDasiaOxiaPros,GrCapAlpha,GrDasiaOxia,,GrPros,1F8D
GrCapAlphaWDasiaPeris,GrCapAlpha,GrDasiaPeris,,,1F0F
GrCapAlphaWDasiaPeris.Por,GrCapAlpha,GrDasiaPeris.Por,,,
GrCapAlphaWDasiaPerisPros,GrCapAlpha,GrDasiaPeris,,GrPros,1F8F
GrCapAlphaWDasiaPerisPros.Por,GrCapAlpha,GrDasiaPeris.Por,,GrPros,
GrCapAlphaWDasiaPros,GrCapAlpha,GrDasia,,GrPros,1F89
GrCapAlphaWDasiaVaria,GrCapAlpha,GrDasiaVaria,,,1F0B
GrCapAlphaWDasiaVariaPros,GrCapAlpha,GrDasiaVaria,,GrPros,1F8B
GrCapAlphaWOxia,GrCapAlpha,GrOxia,,,1FBB
GrCapAlphaWPsili,GrCapAlpha,GrPsili,,,1F08
GrCapAlphaWPsiliOxia,GrCapAlpha,GrPsiliOxia,,,1F0C
GrCapAlphaWPsiliOxiaPros,GrCapAlpha,GrPsiliOxia,,GrPros,1F8C
GrCapAlphaWPsiliPeris,GrCapAlpha,GrPsiliPeris,,,1F0E
GrCapAlphaWPsiliPeris.Por,GrCapAlpha,GrPsiliPeris.Por,,,
GrCapAlphaWPsiliPerisPros,GrCapAlpha,GrPsiliPeris,,GrPros,1F8E
GrCapAlphaWPsiliPerisPros.Por,GrCapAlpha,GrPsiliPeris.Por,,GrPros,
GrCapAlphaWPsiliPros,GrCapAlpha,GrPsili,,GrPros,1F88
GrCapAlphaWPsiliVaria,GrCapAlpha,GrPsiliVaria,,,1F0A
GrCapAlphaWPsiliVariaPros,GrCapAlpha,GrPsiliVaria,,GrPros,1F8A
GrCapAlphaWTonos,GrCapAlpha,GrTonos,,,0386
GrCapAlphaWVaria,GrCapAlpha,GrVaria,,,1FBA
GrCapEpsilonWDasia,GrCapEpsilon,GrDasia,,,1F19
GrCapEpsilonWDasiaOxia,GrCapEpsilon,GrDasiaOxia,,,1F1D
GrCapEpsilonWDasiaVaria,GrCapEpsilon,GrDasiaVaria,,,1F1B
GrCapEpsilonWOxia,GrCapEpsilon,GrOxia,,,1FC9
GrCapEpsilonWPsili,GrCapEpsilon,GrPsili,,,1F18
GrCapEpsilonWPsiliOxia,GrCapEpsilon,GrPsiliOxia,,,1F1C
GrCapEpsilonWPsiliVaria,GrCapEpsilon,GrPsiliVaria,,,1F1A
GrCapEpsilonWTonos,GrCapEpsilon,GrTonos,,,0388
GrCapEpsilonWVaria,GrCapEpsilon,GrVaria,,,1FC8
GrCapEtaWDasia,GrCapEta,GrDasia,,,1F29
GrCapEtaWDasiaOxia,GrCapEta,GrDasiaOxia,,,1F2D
GrCapEtaWDasiaOxiaPros,GrCapEta,GrDasiaOxia,,GrPros,1F9D
GrCapEtaWDasiaPeris,GrCapEta,GrDasiaPeris,,,1F2F
GrCapEtaWDasiaPeris.Por,GrCapEta,GrDasiaPeris.Por,,,
GrCapEtaWDasiaPerisPros,GrCapEta,GrDasiaPeris,,GrPros,1F9F
GrCapEtaWDasiaPerisPros.Por,GrCapEta,GrDasiaPeris.Por,,GrPros,
GrCapEtaWDasiaPros,GrCapEta,GrDasia,,GrPros,1F99
GrCapEtaWDasiaVaria,GrCapEta,GrDasiaVaria,,,1F2B
GrCapEtaWDasiaVariaPros,GrCapEta,GrDasiaVaria,,GrPros,1F9B
GrCapEtaWOxia,GrCapEta,GrOxia,,,1FCB
GrCapEtaWPsili,GrCapEta,GrPsili,,,1F28
GrCapEtaWPsiliOxia,GrCapEta,GrPsiliOxia,,,1F2C
GrCapEtaWPsiliOxiaPros,GrCapEta,GrPsiliOxia,,GrPros,1F9C
GrCapEtaWPsiliPeris,GrCapEta,GrPsiliPeris,,,1F2E
GrCapEtaWPsiliPeris.Por,GrCapEta,GrPsiliPeris.Por,,,
GrCapEtaWPsiliPerisPros,GrCapEta,GrPsiliPeris,,GrPros,1F9E
GrCapEtaWPsiliPerisPros.Por,GrCapEta,GrPsiliPeris.Por,,GrPros,
GrCapEtaWPsiliPros,GrCapEta,GrPsili,,GrPros,1F98
GrCapEtaWPsiliVaria,GrCapEta,GrPsiliVaria,,,1F2A
GrCapEtaWPsiliVariaPros,GrCapEta,GrPsiliVaria,,GrPros,1F9A
GrCapEtaWTonos,GrCapEta,GrTonos,,,0389
GrCapEtaWVaria,GrCapEta,GrVaria,,,1FCA
GrCapIotaWDasia,GrCapIota,GrDasia,,,1F39
GrCapIotaWDasiaOxia,GrCapIota,GrDasiaOxia,,,1F3D
GrCapIotaWDasiaPeris,GrCapIota,GrDasiaPeris,,,1F3F
GrCapIotaWDasiaPeris.Por,GrCapIota,GrDasiaPeris.Por,,,
GrCapIotaWDasiaVaria,GrCapIota,GrDasiaVaria,,,1F3B
GrCapIotaWOxia,GrCapIota,GrOxia,,,1FDB
GrCapIotaWPsili,GrCapIota,GrPsili,,,1F38
GrCapIotaWPsiliOxia,GrCapIota,GrPsiliOxia,,,1F3C
GrCapIotaWPsiliPeris,GrCapIota,GrPsiliPeris,,,1F3E
